n,pts_time,fps,frame_idx
0,0.0,25.0,0
1,0.36,25.0,9
2,0.72,25.0,18
3,0.76,25.0,19
4,1.84,25.0,46
5,2.92,25.0,73
6,2.96,25.0,74
7,7.24,25.0,181
8,11.52,25.0,288
9,11.56,25.0,289
10,12.64,25.0,316
11,13.72,25.0,343
12,13.76,25.0,344
13,14.64,25.0,366
14,15.52,25.0,388
15,15.56,25.0,389
16,16.4,25.0,410
17,17.2,25.0,430
18,17.24,25.0,431
19,18.16,25.0,454
20,19.04,25.0,476
21,19.08,25.0,477
22,19.92,25.0,498
23,20.72,25.0,518
24,20.76,25.0,519
25,21.48,25.0,537
26,22.2,25.0,555
27,22.24,25.0,556
28,23.0,25.0,575
29,23.76,25.0,594
30,23.8,25.0,595
31,24.84,25.0,621
32,25.84,25.0,646
33,25.88,25.0,647
34,27.12,25.0,678
35,28.36,25.0,709
36,28.4,25.0,710
37,42.4,25.0,1060
38,56.4,25.0,1410
39,56.44,25.0,1411
40,58.36,25.0,1459
41,60.24,25.0,1506
42,60.28,25.0,1507
43,61.84,25.0,1546
44,63.36,25.0,1584
45,63.4,25.0,1585
46,66.12,25.0,1653
47,68.84,25.0,1721
48,68.88,25.0,1722
49,70.72,25.0,1768
50,72.56,25.0,1814
51,72.6,25.0,1815
52,78.04,25.0,1951
53,83.48,25.0,2087
54,83.52,25.0,2088
55,85.0,25.0,2125
56,86.48,25.0,2162
57,86.52,25.0,2163
58,87.8,25.0,2195
59,89.04,25.0,2226
60,89.08,25.0,2227
61,89.92,25.0,2248
62,90.72,25.0,2268
63,90.76,25.0,2269
64,92.4,25.0,2310
65,94.0,25.0,2350
66,94.04,25.0,2351
67,98.16,25.0,2454
68,102.28,25.0,2557
69,102.32,25.0,2558
70,104.4,25.0,2610
71,106.48,25.0,2662
72,106.52,25.0,2663
73,107.76,25.0,2694
74,109.0,25.0,2725
75,109.04,25.0,2726
76,118.88,25.0,2972
77,128.68,25.0,3217
78,128.72,25.0,3218
79,130.2,25.0,3255
80,131.64,25.0,3291
81,131.68,25.0,3292
82,132.76,25.0,3319
83,133.8,25.0,3345
84,133.84,25.0,3346
85,134.76,25.0,3369
86,135.68,25.0,3392
87,135.72,25.0,3393
88,136.64,25.0,3416
89,137.56,25.0,3439
90,137.6,25.0,3440
91,138.44,25.0,3461
92,139.24,25.0,3481
93,139.28,25.0,3482
94,140.24,25.0,3506
95,141.16,25.0,3529
96,141.2,25.0,3530
97,145.56,25.0,3639
98,149.88,25.0,3747
99,149.92,25.0,3748
100,151.92,25.0,3798
101,153.88,25.0,3847
102,153.92,25.0,3848
103,155.56,25.0,3889
104,157.2,25.0,3930
105,157.24,25.0,3931
106,159.48,25.0,3987
107,161.72,25.0,4043
108,161.76,25.0,4044
109,163.8,25.0,4095
110,165.8,25.0,4145
111,165.84,25.0,4146
112,166.76,25.0,4169
113,167.64,25.0,4191
114,167.68,25.0,4192
115,168.76,25.0,4219
116,169.8,25.0,4245
117,169.84,25.0,4246
118,170.72,25.0,4268
119,171.6,25.0,4290
120,171.64,25.0,4291
121,175.4,25.0,4385
122,179.12,25.0,4478
123,179.16,25.0,4479
124,180.2,25.0,4505
125,181.24,25.0,4531
126,181.28,25.0,4532
127,182.76,25.0,4569
128,184.2,25.0,4605
129,184.24,25.0,4606
130,185.76,25.0,4644
131,187.28,25.0,4682
132,187.32,25.0,4683
133,190.08,25.0,4752
134,192.8,25.0,4820
135,192.84,25.0,4821
136,194.0,25.0,4850
137,195.12,25.0,4878
138,195.16,25.0,4879
139,196.64,25.0,4916
140,198.12,25.0,4953
141,198.16,25.0,4954
142,199.48,25.0,4987
143,200.8,25.0,5020
144,200.84,25.0,5021
145,201.92,25.0,5048
146,203.0,25.0,5075
147,203.04,25.0,5076
148,204.08,25.0,5102
149,205.08,25.0,5127
150,205.12,25.0,5128
151,206.16,25.0,5154
152,207.16,25.0,5179
153,207.2,25.0,5180
154,210.44,25.0,5261
155,213.68,25.0,5342
156,213.72,25.0,5343
157,216.36,25.0,5409
158,219.0,25.0,5475
